Phase,Task ID,Task Description,Owner,Priority,Status,Est. Duration (days),Comments
0 – Foundation,0.1,Define regions hostnames and DNS zones (Prod A Prod B Non-prod),Infra,High,Not started,1,Document in docs/architecture.md
0 – Foundation,0.2,Create Git repo for infra and apps (infra-ssdnodes apps-platform),Infra,High,Not started,0.5,GitLab CE or GitHub
0 – Foundation,0.3,Provision one test VPS and configure SSH firewall sudo,Infra,High,Not started,1,Use same OS image as final clusters
1 – K8s & Traefik,1.1,Provision 3-node K8s/K3s cluster in Region A,Infra,High,Not started,2,Master + 2 workers or HA control plane
1 – K8s & Traefik,1.2,Provision 3-node K8s/K3s cluster in Region B,Infra,High,Not started,2,Mirror of Region A
1 – K8s & Traefik,1.3,Install Traefik Ingress in Region A with Let's Encrypt enabled,Infra,High,Not started,1,Use DNS or HTTP challenge
1 – K8s & Traefik,1.4,Install Traefik Ingress in Region B with Let's Encrypt enabled,Infra,High,Not started,1,Same config different domains
1 – K8s & Traefik,1.5,Deploy test app behind Traefik in Region A and validate HTTPS,DevOps,Medium,Not started,0.5,Simple hello service
1 – K8s & Traefik,1.6,Deploy Prometheus + Alertmanager + Grafana in Region A,DevOps,High,Not started,2,Use kube-prometheus-stack Helm chart
1 – K8s & Traefik,1.7,Deploy Prometheus + Alertmanager + Grafana in Region B,DevOps,Medium,Not started,2,Same chart & values with overrides
2 – DB & Backup,2.1,Install Postgres operator (PGO/Patroni) in Region A,DevOps,High,Not started,1,Choose operator and pin version
2 – DB & Backup,2.2,Deploy Postgres HA cluster (1 primary 2 replicas) in Region A,DevOps,High,Not started,2,With PersistentVolumes on SSD
2 – DB & Backup,2.3,Deploy MinIO cluster in Region A for backups & snapshots,DevOps,High,Not started,1.5,Expose S3 endpoint internally
2 – DB & Backup,2.4,Configure Postgres backups (pgBackRest / wal-g) to MinIO (A),DevOps,High,Not started,1.5,Test backup + restore
2 – DB & Backup,2.5,Install Velero in Region A and configure MinIO backup target,DevOps,Medium,Not started,1,Backup test namespace
2 – DB & Backup,2.6,Repeat Postgres + MinIO + Velero setup for Region B,DevOps,Medium,Not started,3,Can be automated later
3 – Kafka & OpenSearch,3.1,Deploy Kafka cluster (3 brokers) in Region A (Strimzi/Helm),DevOps,High,Not started,2,Use persistent storage
3 – Kafka & OpenSearch,3.2,Deploy Kafka Connect cluster in Region A,DevOps,Medium,Not started,1,Externalized configs in Git
